ProteinID	Known_GO_Terms
P33911	GO:0005829, GO:0006109, GO:0006402, GO:0045947, GO:0048027, GO:1902208
P36675	GO:0000049, GO:0006417, GO:0019843, GO:0043023, GO:0072344
P36937	GO:0005886, GO:0006813, GO:0008556, GO:0031004, GO:0071805, GO:0098655, GO:1903103
P37188	GO:0005829, GO:0008982, GO:0009401, GO:0015796, GO:0019402, GO:0090584, GO:1902495
P41784	GO:0005576, GO:0009986, GO:0030254, GO:0030257, GO:0042802
P41791	GO:0006091, GO:0031471, GO:0046336
P41792	GO:0006091, GO:0031469, GO:0046336
P45689	GO:0015977, GO:0031470, GO:0043886
P45956	GO:0003677, GO:0004519, GO:0043571, GO:0051607, GO:0099048
P56100	GO:0005886, GO:0006119, GO:0016020, GO:0016679, GO:0019646, GO:0019867, GO:0070069
P56976	GO:0000935, GO:0005886, GO:0016020, GO:0036460, GO:0046677, GO:0051301
P60849	GO:0003690, GO:0003723, GO:0004518, GO:0005694, GO:0005737, GO:0030261, GO:0042802
P62552	GO:0003677, GO:0017053, GO:0032984, GO:0045892, GO:0097351, GO:0110001
P64461	GO:0002952, GO:0005829, GO:0009372, GO:0016491, GO:0016853, GO:0016861
P64467	GO:0003677, GO:0036386, GO:0036411, GO:0043590, GO:0045892, GO:0060566, GO:1900232
P64512	GO:0005886, GO:0010447, GO:0070298, GO:0071286
P64602	GO:0005829, GO:0006974, GO:0015914, GO:0016020, GO:0046677, GO:0120010, GO:0120014, GO:1990531
P68577	GO:0005576, GO:0031640, GO:0050830
P68688	GO:0000166, GO:0005737, GO:0009055, GO:0009263, GO:0010134, GO:0015035, GO:0015036, GO:0015038, GO:0019153, GO:0019345, GO:0034599, GO:0045454
P68699	GO:0005886, GO:0008289, GO:0015986, GO:0042777, GO:0045259, GO:0045263, GO:0046933, GO:0046961
P68919	GO:0000027, GO:0002181, GO:0003735, GO:0005737, GO:0005829, GO:0006412, GO:0008097, GO:0009314, GO:0017148, GO:0022625
P69346	GO:0006355, GO:0015643, GO:0040008, GO:0042803, GO:0043565, GO:0044010, GO:0045892, GO:0110001
P69348	GO:0003723, GO:0004519, GO:0004521, GO:0006355, GO:0006402, GO:0009408, GO:0016892, GO:0040008, GO:0042803, GO:0043024, GO:0044010, GO:0045947, GO:0098795, GO:0110001
P69428	GO:0005829, GO:0005886, GO:0008320, GO:0009977, GO:0033281, GO:0042802, GO:0043953, GO:0065002
P69776	GO:0005576, GO:0008289, GO:0009279, GO:0016020, GO:0030258, GO:0030288, GO:0042802, GO:0042834, GO:0043580
P69913	GO:0005829, GO:0006109, GO:0006402, GO:0017148, GO:0045947, GO:0045948, GO:0048027, GO:0048255
P70994	GO:0016853
P72932	GO:0009523, GO:0010117, GO:0015979, GO:0016168, GO:0031409, GO:0031676, GO:1990066
P73183	GO:0009523, GO:0010207, GO:0016168, GO:0031409, GO:0031676, GO:0042651, GO:1990066
P73429	GO:0009523, GO:0010207, GO:0016168, GO:0031409, GO:0031676, GO:0042651, GO:1990066
P73563	GO:0009523, GO:0015979, GO:0016168, GO:0031409, GO:0031676, GO:0042651, GO:1990066
P76334	GO:0005886, GO:0032153, GO:0043093
P82679	GO:0004497
P83674	GO:0005102, GO:0005576, GO:0006965, GO:0031640, GO:0050830
P86013	GO:0005102, GO:0005576, GO:0050830, GO:0051838
P86475	GO:0005102, GO:0005615, GO:0031640, GO:0050830
P86476	GO:0005102, GO:0005615, GO:0031640, GO:0050830
P95434	GO:0005576, GO:0009986, GO:0030254, GO:0030257
P9WF09	GO:0003677, GO:0004519, GO:0006401, GO:0045892
P9WF43	GO:0003677, GO:0005737, GO:0015035, GO:0035731, GO:0045454, GO:0045892, GO:0046872, GO:0047134, GO:0051539, GO:0071731
P9WHN5	GO:0010498, GO:0019941, GO:0031386, GO:0060090, GO:0070490, GO:0070628
P9WK09	GO:0005507, GO:0008270, GO:0010043, GO:0010045, GO:0032025, GO:0046686, GO:0046688, GO:0097578
P9WKY5	GO:0003682, GO:0005576, GO:0010484, GO:0030430, GO:0042025, GO:0042393, GO:0044068
P9WNK5	GO:0005576, GO:0005886, GO:0009274, GO:0044165, GO:0044228, GO:0044315, GO:0046812
P9WNK7	GO:0005576, GO:0005737, GO:0005829, GO:0005886, GO:0009274, GO:0020002, GO:0042803, GO:0044165, GO:0044228, GO:0044315, GO:0046812, GO:0052027, GO:0052085
P9WPE5	GO:0005524, GO:0005576, GO:0005829, GO:0005886, GO:0006355, GO:0009274, GO:0009408, GO:0034605, GO:0035375, GO:0044183, GO:0046677, GO:0046872, GO:0051082, GO:0051085, GO:0051087
Q09T02	GO:0005102, GO:0005576, GO:0031640, GO:0046931, GO:0050830
Q46865	GO:0004521, GO:0006355, GO:0009372, GO:0016892, GO:0017148, GO:0043488, GO:0044010, GO:0045892, GO:0061157, GO:0110001, GO:2000145
Q47149	GO:0003677, GO:0003723, GO:0004521, GO:0006402, GO:0006415, GO:0016892, GO:0040008, GO:0043022, GO:0044010, GO:0045892, GO:0046677, GO:0110001
Q47150	GO:0000987, GO:0003677, GO:0006351, GO:0015643, GO:0040008, GO:0042803, GO:0044010, GO:0045892, GO:0110001, GO:2000143
Q55354	GO:0009539, GO:0015979, GO:0030096, GO:0031676
Q5F924	GO:0001671, GO:0003690, GO:0003697, GO:0006269, GO:0032781, GO:0042803, GO:0051096, GO:0051117, GO:1990099
Q6MX01	GO:0003677, GO:0005737, GO:0035731, GO:0045454, GO:0045892, GO:0046677, GO:0046872, GO:0047134, GO:0051539, GO:0070542
Q7A225	GO:0003729, GO:0004521, GO:0006276, GO:0006401, GO:0008285, GO:0017148, GO:0030308, GO:0030371, GO:0043022
Q8L3B2	GO:0006558, GO:0016625, GO:0046872, GO:0047110, GO:0051287, GO:0051539
Q97NV3	GO:0005524, GO:0005737, GO:0042802, GO:0044183
Q97X43	GO:0000428, GO:0003899, GO:0006351, GO:0045892, GO:0046872, GO:0051607
Q9AD92	GO:0005576, GO:0007155, GO:0009289, GO:0009986, GO:0042802
Q9HY80	GO:0046872, GO:0051537
Q9KFX8	GO:0000287, GO:0004520, GO:0004521, GO:0042803, GO:0043571, GO:0051607
A5A627	GO:0005253, GO:0005886, GO:0006974, GO:0009432, GO:0016020, GO:0022611
B0SR19	GO:0005355, GO:0005886, GO:0016020, GO:0042803, GO:1904659
B2MVM5	GO:0005576, GO:0031640, GO:0050830
B8YB63	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
B8YB64	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
C6FX52	GO:0045900, GO:0050829, GO:0050830, GO:0070180
C7G1H4	GO:0005576, GO:0031640, GO:0050830
D4GUF6	GO:0000166, GO:0031386, GO:0032446
E9K9Z1	GO:0005576, GO:0031640, GO:0050830
J2EKT7	GO:0008270, GO:0046870
O05228	GO:0005886, GO:0015385, GO:0036376
O07434	GO:0000976, GO:0001217, GO:0005737, GO:0032993, GO:0045892, GO:0046688, GO:0046872
O30434	GO:0005576, GO:0031640, GO:0050830
O31466	GO:0005737, GO:0042802
O33347	GO:0003677, GO:0006355, GO:0045927, GO:0097351
O34800	GO:0030435, GO:0097351
O50461	GO:0003677, GO:0004519, GO:0006401, GO:0045926
P08365	GO:0003677, GO:0006355, GO:0030307, GO:0040008, GO:0044010, GO:0097351, GO:0110001
P08874	GO:0003677, GO:0030435, GO:0042802, GO:0043937, GO:0045892
P0A307	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
P0A734	GO:0000918, GO:0001671, GO:0005829, GO:0005886, GO:0032955, GO:0042802
P0A7N1	GO:0002181, GO:0003735, GO:0005737, GO:0006412, GO:0022625, GO:0034224
P0A7Q1	GO:0002181, GO:0003735, GO:0005737, GO:0022625
P0A843	GO:0005886, GO:0008320, GO:0033281, GO:0043953, GO:0065002
P0A8H8	GO:0006355, GO:0008270, GO:0008657
P0A9I5	GO:0005048, GO:0005737, GO:0051224
P0A9L5	GO:0003755, GO:0005737
P0A9W6	GO:0005829, GO:0006879, GO:0016226, GO:0045454, GO:0051537, GO:0097533, GO:1990229
P0AAN9	GO:0005737, GO:0016036, GO:0042177, GO:0043856
P0AB40	GO:0006950, GO:0009279, GO:0044010, GO:0046688
P0AB65	GO:0003998, GO:0009408
P0ABF4	GO:0005198, GO:0031471, GO:0034214, GO:0042802, GO:0046336
P0AC62	GO:0005737, GO:0005829, GO:0009263, GO:0015035, GO:0015038, GO:0034599, GO:0043295, GO:0045454
P0ACG4	GO:0005886, GO:0042597
P0AD89	GO:0006569, GO:0019843, GO:0031556, GO:0090358
P0ADF8	GO:0003984, GO:0005829, GO:0005948, GO:0009082, GO:0009097, GO:0009099, GO:1990610
